,,What was the maximum temperature increase observed at 3 pm in CONF-1?,The maximum temperature increase observed at 3 pm in CONF-1 was 15Â°F,,,
,,What did the results suggest about the tested buildings?,The results suggested potential for additional flexibility and efficiency gains in the tested buildings,,,
,,What are the major underlying assumptions in the logarithm of energy load models?,The major underlying assumption is that the predictors have a fixed percentage effect on the predicted variables,,,
,,What are the advantages of the model in Eq 1?,"The advantages of the model in Eq 1 are that the coefï¬cients lead to a natural, unit-less interpretation for the response of energy loads to their respective predictors, and they measure the relative change in consumption associated with the predictors",,,
,,What is the statistical advantage of Eq 1 over a model that is linear in energy loads?,"Eq 1 reduces heteroskedasticity, which is when the magnitude of the residuals from the linear equation grows with OAT",,,
,,What is the physical explanation for why the response to the set point change might grow with OAT?,"As OAT increases, over-cooling decreases, a greater number of rooms is closer to their cooling set point, and will therefore be directly affected by a change in that set point",,,
,,What is the main drawback of Eq 1?,The main drawback of Eq 1 is in its predictions at high temperatures,,,
,,What is the sensitivity of the results in Section 4 tested by?,"The sensitivity of the results in Section 4 was tested by including the maximum daily OAT, minimum daily OAT, wind, solar irradiation, and relative humidity as predictors in Eq 1",,,
,,What does the treatment variable correspond to in the models presented in section 4?,"The treatment variable corresponds to the set point command that was scheduled to be sent to the building, not the actual set point command that was adopted by the different rooms inside the building",,,
,,What is an advantage of using the average temperature rather than the maximum or minimum temperature?,An advantage of using the average rather than the maximum or minimum temperature is that this predictor is less sensitive to faulty data measurements,,,
,,What is the role of field data in developing data-driven flexibility models for buildings?,Field data can play a more ambitious role in developing data-driven flexibility models for buildings if more ambitious experimentation programs are conducted,,,
,,What are the two possible explaining factors for why software systems did not respond perfectly?,The two possible explaining factors for why software systems did not respond perfectly are 1 occupants have the option to re-adjust temperature set points locally; and 2 network and controller overloading can cause communication delays and data loss between the centralized software system and the rooms,,,
,,What are the data-driven models developed in this paper relevant to?,The data-driven models for building response functions developed in this paper are directly relevant to electric grid and district energy system operators,,,
,,What is needed to build confidence?,"New, standardized field tests supported by rigorous statistical analyses are needed to build confidence",,,
,,What are the advantages of developing and standardizing stress tests for building energy systems?,"The main benefit of developing and standardizing stress tests for building energy systems is to enable the development of data-driven flexibility models that account for the full cyber-physical response of buildings, which is cheaper and more scalable than computational models that rely heavily on building design parameters",,,
,,How can the use of daily building-level flexibility unlock additional opportunities to provide hourly DR services?,"Daily building-level flexibility can unlock additional opportunities to provide hourly DR services when aggregated with other energy systems, such as an electrochemical storage system at the distribution level or an electric vehicle fleet, as this",,,
,,What example of operational parameter is non-trivial to capture with computational models?,HVAC control logic is a good example of an operational parameter that is non-trivial to capture with computational models such as EnergyPlus,,,
,,What is the typical way of assessing buildings' actual contribution during an event?,"Most prior works use deterministic estimates, either computed using a weighted average of the previous ten days or a linear regression based on prior data, possibly adjusted based on information from the morning of the event",,,
